step,train_loss,epoch
14549,-5.180570602416992,290
14599,-5.218774795532227,291
14649,-5.248292922973633,292
14699,-5.284090042114258,293
14749,-5.169414520263672,294
14799,-5.298751354217529,295
14849,-5.252388954162598,296
14899,-5.089311599731445,297
14949,-4.727083206176758,298
14999,-5.003811359405518,299
15049,-4.939886093139648,300
15099,-5.263209342956543,301
15149,-5.2699432373046875,302
15199,-5.315422534942627,303
15249,-5.215419292449951,304
15299,-5.295991897583008,305
15349,-5.202413558959961,306
15399,-5.293750762939453,307
15449,-5.287188529968262,308
15499,-5.245396137237549,309
15549,-5.3620219230651855,310
15599,-5.0867085456848145,311
15649,-5.274984836578369,312
15699,-5.297975540161133,313
15749,-5.271430492401123,314
15799,-5.2646894454956055,315
15849,-5.300095081329346,316
15899,-5.283755302429199,317
15949,-5.3115105628967285,318
15999,-5.257655143737793,319
16049,-5.3304901123046875,320
16099,-5.2209672927856445,321
16149,-5.287813663482666,322
16199,-5.318342685699463,323
16249,-5.320295333862305,324
16299,-5.319873809814453,325
16349,-5.262731552124023,326
16399,-5.287226676940918,327
16449,-5.425622463226318,328
16499,-5.099147319793701,329
16549,-5.331228256225586,330
16599,-5.273982524871826,331
16649,-5.327169418334961,332
16699,-5.371325492858887,333
16749,-5.288242340087891,334
16799,-5.275813579559326,335
16849,-5.323259353637695,336
16899,-5.3497819900512695,337
16949,-5.287105560302734,338
16999,-5.36451530456543,339
17049,-5.337811470031738,340
17099,-5.329449653625488,341
17149,-5.3069233894348145,342
17199,-5.3183722496032715,343
17249,-5.350169658660889,344
17299,-5.289859771728516,345
17349,-5.2736616134643555,346
17399,-5.358307361602783,347
17449,-5.152590751647949,348
17499,-5.3360161781311035,349
17549,-5.281402587890625,350
17599,-5.393189907073975,351
17649,-5.283053398132324,352
17699,-5.43956184387207,353
17749,-5.336740493774414,354
17799,-5.322857856750488,355
17849,-5.384815216064453,356
17899,-5.329162120819092,357
17949,-5.405589580535889,358
17999,-5.299063205718994,359
18049,-5.452974796295166,360
18099,-5.275002956390381,361
18149,-5.353282451629639,362
18199,-5.281090259552002,363
18249,-5.391920566558838,364
18299,-5.260478496551514,365
18349,-5.185309886932373,366
18399,-5.436432361602783,367
18449,-5.269481182098389,368
18499,-5.2556633949279785,369
18549,-5.442685127258301,370
18599,-5.312740325927734,371
18649,-5.369905948638916,372
18699,-5.360673427581787,373
18749,-5.349154472351074,374
18799,-5.435518264770508,375
18849,-5.302741527557373,376
18899,-5.418415546417236,377
18949,-5.373868942260742,378
18999,-5.399777412414551,379
19049,-5.3976593017578125,380
19099,-5.436522006988525,381
19149,-5.234076023101807,382
19199,-5.3200531005859375,383
19249,-5.4223198890686035,384
19299,-5.361297130584717,385
19349,-5.382945537567139,386
19399,-5.366443634033203,387
19449,-5.428669452667236,388
19499,-5.433648109436035,389
19549,-5.413020610809326,390
19599,-5.3670125007629395,391
19649,-5.501154899597168,392
19699,-5.256818771362305,393
19749,-5.442007541656494,394
19799,-5.367138862609863,395
19849,-5.467799663543701,396
19899,-5.337522029876709,397
19949,-5.346642971038818,398
19999,-5.359738826751709,399
20049,-5.4239935874938965,400
20099,-5.3959245681762695,401
20149,-5.455492973327637,402
20199,-5.430055141448975,403
20249,-5.427552700042725,404
20299,-5.424734592437744,405
20349,-5.420762538909912,406
20399,-5.149658203125,407
20449,-5.474510669708252,408
20499,-5.326155185699463,409
20549,-5.472416400909424,410
20599,-5.478651523590088,411
20649,-5.416614532470703,412
20699,-5.47677755355835,413
20749,-5.385558605194092,414
20799,-5.444610595703125,415
20849,-5.453299045562744,416
20899,-5.418406963348389,417
20949,-5.4186320304870605,418
20999,-5.362859725952148,419
21049,-5.377239227294922,420
21099,-5.467435359954834,421
21149,-5.473249435424805,422
21199,-5.308051109313965,423
21249,-5.473696231842041,424
21299,-5.444377422332764,425
21349,-5.494081497192383,426
21399,-5.422979354858398,427
21449,-5.496706485748291,428
21499,-5.45566463470459,429
21549,-5.379106044769287,430
21599,-5.493745803833008,431
21649,-5.479040145874023,432
21699,-5.529342174530029,433
21749,-5.135033130645752,434
21799,-5.499425888061523,435
21849,-5.422126293182373,436
21899,-5.549075126647949,437
21949,-5.291534423828125,438
21999,-5.495398998260498,439
22049,-5.456579685211182,440
22099,-5.474709987640381,441
22149,-5.437650680541992,442
22199,-5.460627555847168,443
22249,-5.457393169403076,444
22299,-5.560603618621826,445
22349,-5.432638645172119,446
22399,-5.447443962097168,447
22449,-5.486147880554199,448
22499,-5.463113307952881,449
22549,-5.506544589996338,450
22599,-5.508665561676025,451
22649,-5.429862022399902,452
22699,-5.490598201751709,453
22749,-5.512264251708984,454
22799,-5.442225456237793,455
22849,-5.508909702301025,456
22899,-5.514560699462891,457
22949,-5.31053352355957,458
22999,-5.531242847442627,459
23049,-5.517609119415283,460
23099,-5.45095157623291,461
23149,-5.5408616065979,462
23199,-5.492363452911377,463
23249,-5.474796295166016,464
23299,-5.482421875,465
23349,-5.420443534851074,466
23399,-5.503187656402588,467
23449,-5.552653789520264,468
23499,-5.367254257202148,469
23549,-5.464171886444092,470
23599,-5.5598368644714355,471
23649,-5.496201992034912,472
23699,-5.463256359100342,473
23749,-5.577947616577148,474
23799,-5.516664505004883,475
23849,-5.456226825714111,476
23899,-5.576666831970215,477
23949,-5.4055962562561035,478
23999,-5.556999683380127,479
24049,-5.4500651359558105,480
24099,-5.5121846199035645,481
24149,-5.545656681060791,482
24199,-5.428912162780762,483
24249,-5.568209171295166,484
24299,-5.536007881164551,485
24349,-5.446960926055908,486
24399,-5.4485764503479,487
24449,-5.504762649536133,488
24499,-5.334672927856445,489
24549,-5.609818935394287,490
24599,-5.452795028686523,491
24649,-5.554311752319336,492
24699,-5.477895736694336,493
24749,-5.631381988525391,494
24799,-5.4100494384765625,495
24849,-5.478764057159424,496
24899,-5.515420913696289,497
24949,-5.566448211669922,498
24999,-5.555554389953613,499
